,Time,User,Tweet
0,2022-08-09 20:35:00+00:00,NylonMag,"The report comes following news of Davidson and Kim Kardashian’s breakup.
https://t.co/3bRoSxBKDV"
1,2022-08-09 20:34:27+00:00,Reforma,.@OzzyOsbourne marca su regreso a los escenarios en la clausura de #CommonwealthGames #TrendingREFORMA https://t.co/FEsZKBCLXk
2,2022-08-09 20:32:06+00:00,wwd,"Prices are still high, but consumers got some relief last month when deflation occurred across 14 merchandise categ… https://t.co/70Jjrlm1Ey"
3,2022-08-09 20:31:14+00:00,Reforma,📌Las clases de derechos humanos que dio el abogado Gonzalo Levi caracterizado del Chapulín Colorado en el Pueblo de… https://t.co/KKuO0jG9BF
4,2022-08-09 20:28:32+00:00,TheCut,"Lauren Chinn’s all-consuming feud with her skin, the subject of her new memoir, was always there for her. Even at h… https://t.co/ueL35EdNtV"
5,2022-08-09 20:26:52+00:00,Reforma,"Durante la reunión de #seguridad, donde los medios tuvieron acceso con la condición de no entrar con celulares, cám… https://t.co/C8bRqU6Qg5"
6,2022-08-09 20:26:51+00:00,Reforma,"""Adelante Rosa"", le dijo a la Secretaria de Seguridad y Protección Ciudadana (@SSPCMexico), Rosa Icela Rodríguez (… https://t.co/L6qGZVd75s"
7,2022-08-09 20:26:42+00:00,Reforma,"""Buenos días"", les dijo en tono seco, y se sentó en una silla de madera, distinta a la del resto, con un traje obsc… https://t.co/nT8DR2MuI9"
8,2022-08-09 20:26:36+00:00,Reforma,"Antes de la mañanera, a las 5:58 horas, el Presidente Andrés Manuel López Obrador (@lopezobrador_) entró a la Sala… https://t.co/BRTkUYnXLy"
9,2022-08-09 20:26:29+00:00,Reforma,López Obrador (@lopezobrador_) abrió a 5 representantes de medios de comunicación -entre ellos REFORMA- una reunión… https://t.co/R0kvfAFmxK
10,2022-08-09 20:25:51+00:00,SimonLevyMx,"Este video no está editado y es real:
“Nosotros seguimos apoyando la política de “una sola 🇨🇳” y creemos “que la so… https://t.co/70GGszcZwi"
11,2022-08-09 20:20:48+00:00,Reforma,"RT @ReformaGadgets: Ante las tensiones entre #China y #EU, @Apple ha tenido que sortear un obstáculo aduanal en el gigante asiático para no…"
12,2022-08-09 20:19:07+00:00,Reforma,"Checa lo que se sabe del caso del helicóptero robado en el AICM, así como los deslindes  https://t.co/cCmDZhvJJq"
13,2022-08-09 20:13:06+00:00,SimonLevyMx,4 días después… https://t.co/In7qLL7Vgw https://t.co/OK5lFgGaIT
14,2022-08-09 20:08:44+00:00,Reforma,"""Ya quedo completamente liberado el Tramo Cinco Sur"", afirmó titular de Fonatur, Javier May
 https://t.co/vcBCtF6ERS"
15,2022-08-09 20:04:54+00:00,ChumelTorres,KABOOM https://t.co/Svvp9naDHM
16,2022-08-09 20:04:36+00:00,Reforma,"Ante las tensiones entre #China y #EU, @Apple ha tenido que sortear un obstáculo aduanal en el gigante asiático par… https://t.co/g0nLWBwUB6"
17,2022-08-09 20:00:34+00:00,Reforma,🎥#ChangarreandoCDMX LA ESTRELLA DE LA ROMA logró transformar el tradicional marisco callejero y darle un toque Gour… https://t.co/K0hUihroET
18,2022-08-09 20:00:31+00:00,wwd,Capri Holdings Limited is the latest company to reveal a mixed bag this quarter. https://t.co/n1WI6sRd9N
19,2022-08-09 20:00:02+00:00,NylonMag,"The release of “Pink Venom” will kick off @BLACKPINK’s comeback in earnest. 
https://t.co/6sKtlai8SC"
